hub_state,hub_city,city,state,latitude,longitude,distance_miles,delivery_count
AL,Gadsden,Albertville,AL,34.2633,-86.2108,20.84,6
AL,Gadsden,Anniston,AL,33.6712,-85.8135,26.04,5
AL,Gadsden,Arab,AL,34.3309,-86.4991,35.49,2
AL,Gadsden,Attalla,AL,34.005,-86.1039,5.06,1
AL,Gadsden,Boaz,AL,34.1985,-86.1529,15.29,1
AL,Gadsden,Centre,AL,34.1537,-85.6689,22.23,0
AL,Gadsden,Crossville,AL,34.2852,-85.9996,19.13,0
AL,Gadsden,Cullman,AL,34.1775,-86.8407,48.63,17
AL,Gadsden,Fort Payne,AL,34.4559,-85.6965,35.88,6
AL,Gadsden,Fyffe,AL,34.449,-85.9052,31.08,0
AL,Gadsden,Gadsden,AL,34.0086,-86.0157,0.0,214
AL,Gadsden,Guntersville,AL,34.3671,-86.2637,28.54,2
AL,Gadsden,Hanceville,AL,34.0632,-86.7645,43.04,0
AL,Gadsden,Heflin,AL,33.647,-85.5698,35.77,0
AL,Gadsden,Henagar,AL,34.6306,-85.7413,45.74,0
AL,Gadsden,Holly Pond,AL,34.1696,-86.6125,35.92,0
AL,Gadsden,Hollywood,AL,34.7195,-85.9641,49.21,2
AL,Gadsden,Leeds,AL,33.5436,-86.5639,44.98,2
AL,Gadsden,Leesburg,AL,34.1839,-85.775,18.34,1
AL,Gadsden,Moody,AL,33.5986,-86.4963,39.55,2
AL,Gadsden,Odenville,AL,33.6978,-86.4228,31.73,0
AL,Gadsden,Oneonta,AL,33.9394,-86.4932,27.77,1
AL,Gadsden,Oxford,AL,33.5967,-85.8687,29.68,5
AL,Gadsden,Pell City,AL,33.561,-86.2669,34.13,2
AL,Gadsden,Piedmont,AL,33.9269,-85.6149,23.65,1
AL,Gadsden,Pinson,AL,33.7055,-86.6678,42.88,1
AL,Gadsden,Rainbow City,AL,33.9336,-86.0922,6.79,1
AL,Gadsden,Rainsville,AL,34.4938,-85.8436,34.94,1
AL,Gadsden,Scottsboro,AL,34.6438,-86.0491,43.93,7
AL,Gadsden,Steele,AL,33.937,-86.2004,11.68,1
AL,Gadsden,Sterrett,AL,33.449,-86.4645,46.48,2
AL,Gadsden,Talladega,AL,33.4333,-86.0986,40.03,2
AL,Gadsden,Trussville,AL,33.6405,-86.5815,41.25,2
AL,Gadsden,Union Grove,AL,34.4025,-86.4483,36.77,1
AL,Gadsden,Warrior,AL,33.8149,-86.8157,47.78,1
AR,Little Rock,Alexander,AR,34.6185,-92.4512,9.11,1
AR,Little Rock,Benton,AR,34.5776,-92.5713,15.87,0
AR,Little Rock,Bryant,AR,34.6152,-92.4914,10.77,2
AR,Little Rock,Carlisle,AR,34.7947,-91.7361,35.61,0
AR,Little Rock,Conway,AR,35.0753,-92.4692,24.97,3
AR,Little Rock,Hot Springs,AR,34.4892,-93.0501,42.63,1
AR,Little Rock,Hot Springs Village,AR,34.6566,-92.9643,34.79,1
AR,Little Rock,Jacksonville,AR,34.8807,-92.1304,16.77,1
AR,Little Rock,Leola,AR,34.17,-92.5914,40.63,0
AR,Little Rock,Little Rock,AR,34.7256,-92.3577,0.0,17
AR,Little Rock,Maumelle,AR,34.8522,-92.4,9.07,1
AR,Little Rock,Morrilton,AR,35.1558,-92.7387,36.73,1
