hub_state,hub_city,city,state,latitude,longitude,distance_miles,pickup_count
AL,Decatur,Addison,AL,34.2017,-87.1765,27.77,0
AL,Decatur,Albertville,AL,34.2633,-86.2108,49.33,5
AL,Decatur,Arab,AL,34.3309,-86.4991,32.62,1
AL,Decatur,Athens,AL,34.7843,-86.9503,14.77,12
AL,Decatur,Courtland,AL,34.6703,-87.326,20.22,2
AL,Decatur,Cullman,AL,34.1775,-86.8407,28.64,9
AL,Decatur,Decatur,AL,34.5731,-86.9905,0.0,41
AL,Decatur,Double Springs,AL,34.1502,-87.391,37.09,0
AL,Decatur,Florence,AL,34.8303,-87.6655,42.26,6
AL,Decatur,Guntersville,AL,34.3671,-86.2637,43.78,1
AL,Decatur,Haleyville,AL,34.2331,-87.6175,42.77,2
AL,Decatur,Hanceville,AL,34.0632,-86.7645,37.52,2
AL,Decatur,Hartselle,AL,34.4391,-86.9396,9.7,12
AL,Decatur,Holly Pond,AL,34.1696,-86.6125,35.24,1
AL,Decatur,Huntsville,AL,34.6981,-86.6412,21.65,27
AL,Decatur,Killen,AL,34.8607,-87.5268,36.37,0
AL,Decatur,Madison,AL,34.7114,-86.7626,16.1,8
AL,Decatur,Moulton,AL,34.4844,-87.2833,17.76,2
AL,Decatur,Muscle Shoals,AL,34.7432,-87.6343,38.43,11
AL,Decatur,New Market,AL,34.8892,-86.4226,38.95,1
AL,Decatur,Rogersville,AL,34.8251,-87.2821,24.03,4
AL,Decatur,Russellville,AL,34.5055,-87.7283,42.25,3
AL,Decatur,Spruce Pine,AL,34.3928,-87.7294,43.89,0
AL,Decatur,Trinity,AL,34.6011,-87.0816,5.53,14
AL,Decatur,Tuscumbia,AL,34.7204,-87.7035,41.79,6
AL,Decatur,Union Grove,AL,34.4025,-86.4483,33.05,0
AR,West Memphis,Cherry Valley,AR,35.4028,-90.7536,35.7,0
AR,West Memphis,Crawfordsville,AR,35.2267,-90.3241,8.68,2
AR,West Memphis,Forrest City,AR,35.0135,-90.7931,34.91,0
AR,West Memphis,Helena-West Helena,AR,34.5313,-90.6201,49.13,0
AR,West Memphis,Marianna,AR,34.7736,-90.7674,41.48,1
AR,West Memphis,Marked Tree,AR,35.5251,-90.4252,28.68,2
AR,West Memphis,Osceola,AR,35.6942,-89.9934,39.15,7
AR,West Memphis,Trumann,AR,35.677,-90.5259,40.6,1
AR,West Memphis,West Memphis,AR,35.153,-90.1996,0.0,55
AR,West Memphis,Wilson,AR,35.5661,-90.043,29.88,0
AR,West Memphis,Wynne,AR,35.2322,-90.7897,33.77,1
AZ,Phoenix,Avondale,AZ,33.3873,-112.3235,18.59,1
AZ,Phoenix,El Mirage,AZ,33.5905,-112.3271,13.75,0
AZ,Phoenix,Mesa,AZ,33.4015,-111.7178,24.44,1
AZ,Phoenix,Peoria,AZ,33.7843,-112.2989,18.98,0
AZ,Phoenix,Phoenix,AZ,33.5722,-112.0892,0.0,2
AZ,Phoenix,Tolleson,AZ,33.4484,-112.256,12.86,1
CA,Perris,Perris,CA,33.7898,-117.2233,0.0,2
CO,Aurora,Aurora,CO,39.7083,-104.7237,0.0,1
CO,Aurora,Brighton,CO,39.9716,-104.7963,18.6,1
CO,Aurora,Commerce City,CO,39.8641,-104.843,12.49,0
CO,Aurora,Denver,CO,39.762,-104.8758,8.89,1
CO,Aurora,Fort Lupton,CO,40.0827,-104.8068,26.24,0
CO,Aurora,Frederick,CO,40.1088,-104.9701,30.6,0
CT,Middletown,Ansonia,CT,41.3443,-73.0689,25.63,0
CT,Middletown,Bridgeport,CT,41.1918,-73.1954,37.28,15
CT,Middletown,Bristol,CT,41.6812,-72.9407,17.41,7
CT,Middletown,Canaan,CT,42.0347,-73.3322,48.48,2
CT,Middletown,Danbury,CT,41.4015,-73.4709,43.43,2
CT,Middletown,Danielson,CT,41.8086,-71.8854,43.61,0
CT,Middletown,Dayville,CT,41.8443,-71.8823,44.82,1
CT,Middletown,Derby,CT,41.3265,-73.0833,26.94,0
CT,Middletown,Hartford,CT,41.7661,-72.6834,15.17,6
CT,Middletown,JEWETT CITY,CT,41.607,-71.9806,35.09,0
CT,Middletown,Meriden,CT,41.5369,-72.7946,7.26,1
CT,Middletown,Middletown,CT,41.5476,-72.6549,0.0,30
CT,Middletown,Mystic,CT,41.3562,-71.9546,38.6,0
CT,Middletown,Naugatuck,CT,41.489,-73.0518,20.93,12
CT,Middletown,New Britain,CT,41.6759,-72.7862,11.16,2
CT,Middletown,New Haven,CT,41.3113,-72.9246,21.49,7
CT,Middletown,Norwalk,CT,41.1144,-73.4215,49.78,0
CT,Middletown,Norwich,CT,41.5495,-72.0882,29.3,1
CT,Middletown,SOUTH WINDHAM,CT,41.685,-72.1845,26.09,0
CT,Middletown,Sandy Hook,CT,41.4128,-73.244,31.88,0
CT,Middletown,Shelton,CT,41.306,-73.1383,30.1,13
CT,Middletown,Stafford Springs,CT,41.9595,-72.3105,33.54,0
CT,Middletown,Torrington,CT,41.8349,-73.1282,31.47,3
CT,Middletown,Waterbury,CT,41.5582,-73.0361,19.72,14
CT,Middletown,West Haven,CT,41.2739,-72.9672,24.89,6
CT,Middletown,Willimantic,CT,41.7171,-72.2114,25.72,2
CT,Middletown,Winsted,CT,41.9262,-73.0675,33.72,2
DC,Washington,Washington,DC,38.9047,-77.0163,0.0,3
DE,Wilmington,Bear,DE,39.6189,-75.6808,11.25,2
DE,Wilmington,Camden,DE,39.099,-75.5571,44.4,0
DE,Wilmington,Claymont,DE,39.8032,-75.4607,6.05,2
DE,Wilmington,Clayton,DE,39.2849,-75.6366,31.95,2
